Product code,station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,A764,2017,10,3,16.6,1,Y
IDCJAC0010,A764,2017,10,4,16,1,Y
IDCJAC0010,A764,2017,10,5,18.3,1,Y
IDCJAC0010,A764,2017,10,6,23.3,1,Y
IDCJAC0010,A764,2017,10,7,21.7,1,Y
IDCJAC0010,A764,2017,10,8,20.6,1,Y
IDCJAC0010,A764,2017,10,9,21.3,1,Y
IDCJAC0010,A764,2017,10,10,22.1,1,Y
IDCJAC0010,A764,2017,10,11,22.9,1,Y
IDCJAC0010,A764,2017,10,12,22.1,1,Y
IDCJAC0010,A764,2017,10,13,24,1,Y
IDCJAC0010,A764,2017,10,14,23.6,1,Y
IDCJAC0010,A764,2017,10,15,20.7,1,Y
IDCJAC0010,A764,2017,10,16,18.3,1,Y
IDCJAC0010,A764,2017,10,17,20.9,1,Y
IDCJAC0010,A764,2017,10,18,22.7,1,Y
IDCJAC0010,A764,2017,10,19,20.9,1,Y
IDCJAC0010,A764,2017,10,20,20.4,1,Y
IDCJAC0010,A764,2017,10,21,22.7,1,Y
IDCJAC0010,A764,2017,10,22,19.4,1,Y
IDCJAC0010,A764,2017,10,23,18.6,1,Y
IDCJAC0010,A764,2017,10,24,17.6,1,Y
IDCJAC0010,A764,2017,10,25,19.8,1,Y
IDCJAC0010,A764,2017,10,26,20.8,1,Y
IDCJAC0010,A764,2017,10,27,21.2,1,Y
IDCJAC0010,A764,2017,10,28,18.7,1,Y
IDCJAC0010,A764,2017,10,29,19.6,1,Y
IDCJAC0010,A764,2017,10,30,20.9,1,Y
IDCJAC0010,A764,2017,10,31,18.9,1,Y
IDCJAC0010,A764,2017,11,1,17.6,1,Y
IDCJAC0010,A764,2017,11,2,17.3,1,Y
IDCJAC0010,A764,2017,11,3,20.6,1,Y
IDCJAC0010,A764,2017,11,4,20.1,1,Y
IDCJAC0010,A764,2017,11,5,18.9,1,Y
IDCJAC0010,A764,2017,11,6,18.9,1,Y
IDCJAC0010,A764,2017,11,7,18.1,1,Y
IDCJAC0010,A764,2017,11,8,19.8,1,Y
IDCJAC0010,A764,2017,11,9,19.2,1,Y
IDCJAC0010,A764,2017,11,10,20.5,1,Y
IDCJAC0010,A764,2017,11,11,19.9,1,Y
IDCJAC0010,A764,2017,11,12,19.5,1,Y
IDCJAC0010,A764,2017,11,13,16.2,1,Y
IDCJAC0010,A764,2017,11,14,18.1,1,Y
IDCJAC0010,A764,2017,11,15,21.3,1,Y
IDCJAC0010,A764,2017,11,16,21.5,1,Y
IDCJAC0010,A764,2017,11,17,19.2,1,Y
IDCJAC0010,A764,2017,11,18,21.1,1,Y
IDCJAC0010,A764,2017,11,19,20.5,1,Y
IDCJAC0010,A764,2017,11,20,21.3,1,Y
IDCJAC0010,A764,2017,11,21,20.1,1,Y
IDCJAC0010,A764,2017,11,22,20.6,1,Y
IDCJAC0010,A764,2017,11,23,18.3,1,Y
IDCJAC0010,A764,2017,11,24,20.1,1,Y
IDCJAC0010,A764,2017,11,25,20.7,1,Y
IDCJAC0010,A764,2017,11,26,19.4,1,Y
IDCJAC0010,A764,2017,11,27,20.8,1,Y
